macro,value,source,formula,notes
MetricHalsteadCastmRatio,6.4,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/outputs/halstead_compigra_sbox/halstead_table_rows.csv,halstead_table_rows[\castm{} (\textbf{Ours})].ratio_to_cpp_ref,
MetricHalsteadCompigraRatio,2.4,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/outputs/halstead_compigra_sbox/halstead_table_rows.csv,halstead_table_rows[Compigra C++].ratio_to_cpp_ref,
MetricHalsteadCompressionVsManual,10.10,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/outputs/halstead_compigra_sbox/halstead_table_rows.csv,halstead_table_rows[Manual CSV].ratio_to_cpp_ref / halstead_table_rows[CASTM].ratio_to_cpp_ref,
MetricHalsteadCppRefRatio,1.0,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/outputs/halstead_compigra_sbox/halstead_table_rows.csv,halstead_table_rows[C++ (Ref.)].ratio_to_cpp_ref,
MetricHalsteadManualRatio,64.5,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/outputs/halstead_compigra_sbox/halstead_table_rows.csv,halstead_table_rows[Manual CSV].ratio_to_cpp_ref,
MetricLocCastm,340,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/kernels/primitives/sbox_x7_mod/sbox_x7_mod.edsl,len(sbox_x7_mod.edsl.splitlines()),Physical visible line count of the CASTM EDSL source.
MetricLocCompigra,47,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/outputs/halstead_compigra_sbox/halstead_table_rows.csv,halstead_table_rows[Compigra C++].loc,
MetricLocCompressionVsManual,6.0,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/kernels/manual/sbox_x7_k7/instructions.csv; /Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/kernels/primitives/sbox_x7_mod/sbox_x7_mod.edsl,len(manual instructions.csv.splitlines()) / len(sbox_x7_mod.edsl.splitlines()),LOC compression uses physical visible line counts from the manual CSV and the CASTM EDSL source.
MetricLocCppRef,25,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/outputs/halstead_compigra_sbox/halstead_table_rows.csv,halstead_table_rows[C++ (Ref.)].loc,
MetricLocManual,"2{,}030",/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/kernels/manual/sbox_x7_k7/instructions.csv,len(instructions.csv.splitlines()),"Physical visible line count. The file currently has no trailing newline, so wc -l reports one fewer line."
